"This the the original data from Richard P. Rumelt, Strategy, Structure, and Economic Performance,",,,,,,,
"updated to extend to 1974. The rank column shows ranks in only 1949,1959, 1969,and 1974. ",,,,,,,
"The 1949 ranks are exact for 1-99, 100-200 are marked 200, and 300-500 are marked 500.",,,,,,,
"In500  = 1 when the firm was in the top 500, and 0 when it was smaller than that. ",,,,,,,
Data begins and ends in 1949 and 1974 unless the firm was formed after 1949 and/or was acquired or otherwise disappeared before 1974.,,,,,,,
Change the extension to CSV to open as a spreadsheet.,,,,,,,

Name,Symbol,SIC,Year,In 500,Rank,Strategy,Structure
ABBOTT LABORATORIES,ABT,2835,1949,1,500,RC,FU
ABBOTT LABORATORIES,ABT,2835,1950,1,--,RC,FU
ABBOTT LABORATORIES,ABT,2835,1951,1,--,RC,FU
ABBOTT LABORATORIES,ABT,2835,1952,1,--,RC,FU
ABBOTT LABORATORIES,ABT,2835,1953,1,--,RC,FU
ABBOTT LABORATORIES,ABT,2835,1954,1,--,RC,FU
ABBOTT LABORATORIES,ABT,2835,1955,1,--,RC,FU
ABBOTT LABORATORIES,ABT,2835,1956,1,--,RC,FU
ABBOTT LABORATORIES,ABT,2835,1957,1,--,RC,FU
ABBOTT LABORATORIES,ABT,2835,1958,1,--,RC,FU
ABBOTT LABORATORIES,ABT,2835,1959,1,328,RC,FU
ABBOTT LABORATORIES,ABT,2835,1960,1,--,RC,FU
ABBOTT LABORATORIES,ABT,2835,1961,1,--,RC,FU
ABBOTT LABORATORIES,ABT,2835,1962,1,--,RC,FU
ABBOTT LABORATORIES,ABT,2835,1963,1,--,RC,FS
ABBOTT LABORATORIES,ABT,2835,1964,1,--,RC,FS
ABBOTT LABORATORIES,ABT,2835,1965,1,--,RC,FS
ABBOTT LABORATORIES,ABT,2835,1966,1,--,RC,FS
ABBOTT LABORATORIES,ABT,2835,1967,1,--,RC,FS
ABBOTT LABORATORIES,ABT,2835,1968,1,--,RC,PD
ABBOTT LABORATORIES,ABT,2835,1969,1,248,RC,PD
ABBOTT LABORATORIES,ABT,2835,1970,1,--,RC,PD
ABBOTT LABORATORIES,ABT,2835,1971,1,--,RC,PD
ABBOTT LABORATORIES,ABT,2835,1972,1,--,RC,PD
ABBOTT LABORATORIES,ABT,2835,1973,1,--,RC,PD
ABBOTT LABORATORIES,ABT,2835,1974,1,249,RC,PD
ABEX,ABK,3740,1949,1,500,DC,HC
ABEX,ABK,3740,1950,1,--,DC,HC
ABEX,ABK,3740,1951,1,--,DC,HC
ABEX,ABK,3740,1952,1,--,DC,HC
ABEX,ABK,3740,1953,1,--,DC,HC
ABEX,ABK,3740,1954,1,--,DC,HC
ABEX,ABK,3740,1955,1,--,DC,HC
ABEX,ABK,3740,1956,1,--,DC,HC
ABEX,ABK,3740,1957,1,--,DC,HC
ABEX,ABK,3740,1958,1,--,DC,PD
ABEX,ABK,3740,1959,1,265,RC,PD
ABEX,ABK,3740,1960,1,--,RC,PD
ABEX,ABK,3740,1961,1,--,RC,PD
ABEX,ABK,3740,1962,1,--,RC,PD
ABEX,ABK,3740,1963,1,--,RC,PD
ABEX,ABK,3740,1964,1,--,RC,PD
ABEX,ABK,3740,1965,1,--,RC,PD
ABEX,ABK,3740,1966,1,--,RC,PD
ABEX,ABK,3740,1967,1,--,RC,PD
ABEX,ABK,3740,1968,1,--,RC,PD
ABEX,ABK,3740,1969,0,0,RC,PD
ACF INDS INC,ACF,3740,1949,1,500,DL,FS
ACF INDS INC,ACF,3740,1950,1,--,DL,FS
ACF INDS INC,ACF,3740,1951,1,--,DL,FS
ACF INDS INC,ACF,3740,1952,1,--,DL,FS
ACF INDS INC,ACF,3740,1953,1,--,DU,FS
ACF INDS INC,ACF,3740,1954,1,--,DU,FS
ACF INDS INC,ACF,3740,1955,1,--,DU,FS
ACF INDS INC,ACF,3740,1956,1,--,DU,FS
ACF INDS INC,ACF,3740,1957,1,--,DU,FS
ACF INDS INC,ACF,3740,1958,1,--,DU,FS
ACF INDS INC,ACF,3740,1959,1,252,DU,PD
ACF INDS INC,ACF,3740,1960,1,--,DU,PD
ACF INDS INC,ACF,3740,1961,1,--,DU,PD
ACF INDS INC,ACF,3740,1962,1,--,DU,PD
ACF INDS INC,ACF,3740,1963,1,--,DU,PD
ACF INDS INC,ACF,3740,1964,1,--,DU,PD
ACF INDS INC,ACF,3740,1965,1,--,RL,PD
ACF INDS INC,ACF,3740,1966,1,--,RL,PD
ACF INDS INC,ACF,3740,1967,1,--,RL,PD
ACF INDS INC,ACF,3740,1968,1,--,RL,PD
ACF INDS INC,ACF,3740,1969,1,343,RL,PD
ACF INDS INC,ACF,3740,1970,1,--,RL,PD
ACF INDS INC,ACF,3740,1971,1,--,RL,PD
ACF INDS INC,ACF,3740,1972,1,--,RL,PD
ACF INDS INC,ACF,3740,1973,1,--,RL,PD
ACF INDS INC,ACF,3740,1974,1,303,RL,PD
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1949,1,0,DC,FU
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1950,1,--,DC,FU
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1951,1,--,DC,FU
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1952,1,--,DC,FU
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1953,1,--,DC,FU
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1954,1,--,DC,FU
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1955,1,--,DC,FU
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1956,1,--,DC,FU
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1957,1,--,DC,FU
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1958,1,--,DC,FU
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1959,1,306,DC,FU
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1960,1,--,DC,FU
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1961,1,--,DC,FU
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1962,1,--,DC,FU
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1963,1,--,DC,FU
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1964,1,--,RC,PD
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1965,1,--,RC,PD
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1966,1,--,RC,PD
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1967,1,--,RC,PD
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1968,1,--,RC,PD
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1969,1,244,RC,PD
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1970,1,--,RC,PD
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1971,1,--,RC,PD
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1972,1,--,RC,PD
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1973,1,--,RC,PD
ADDRESSOGRAPH-MULTIGRAPH,AIN,3570,1974,1,301,RC,PD
AIRCO INC,AN,2803,1949,1,500,DC,PD
AIRCO INC,AN,2803,1950,1,--,DC,PD
AIRCO INC,AN,2803,1951,1,--,DC,PD
AIRCO INC,AN,2803,1952,1,--,DC,PD
AIRCO INC,AN,2803,1953,1,--,DC,PD
AIRCO INC,AN,2803,1954,1,--,DC,PD
AIRCO INC,AN,2803,1955,1,--,DC,PD
AIRCO INC,AN,2803,1956,1,--,DC,PD
AIRCO INC,AN,2803,1957,1,--,DC,PD
AIRCO INC,AN,2803,1958,1,--,DC,PD
AIRCO INC,AN,2803,1959,1,366,DC,PD
AIRCO INC,AN,2803,1960,1,--,DC,PD
AIRCO INC,AN,2803,1961,1,--,RL,PD
AIRCO INC,AN,2803,1962,1,--,RL,PD
AIRCO INC,AN,2803,1963,1,--,RL,PD
AIRCO INC,AN,2803,1964,1,--,RL,PD
AIRCO INC,AN,2803,1965,1,--,RL,PD
