category,order,title,authors,year,journal,description,file,bib,bib-type,web-link
books,x,"Strategy, Structure & Economic Performance",Richard P. Rumelt,1974, Harvard University Press,Analysis of twenty years of data on the strategies and structures of large US firms,books_excerpts/Strategy_Structure_Economic_Performance.pdf,"Rumelt, Richard P. Strategy, Structure & Economic Performance. Harvard University Press, 1974.",Books,
books,x,The Crux: How Leaders Become Strategists ï¿½ Chapter 1,Richard P. Rumelt,2022,PublicAffairs,,,"Rumelt, Richard P. The Crux: How Leaders Become Strategists ï¿½ Chapter 1. PublicAffairs, 2022.",Books,
books,x,Good Strategy/Bad Strategy: The Difference and Why it Matters,Richard P. Rumelt,2011,Crown Business,,,"Rumelt, Richard P. Good Strategy, Bad Strategy: The Difference and Why It Matters. New York: Crown Business, 2011.",Books,
books,x,Fundamental Issues in Strategy: A Research Agenda,Richard P. Rumelt & Da E. Schendel & David J. Teece,1994,Harvard Business School Press,,,"Rumelt, Richard P., Dan E. Schendel, and David J. Teece, eds. Fundamental Issues in Strategy: A Research Agenda. Boston: Harvard Business School Press, 1994.",Books,
papers,1,Uncertain Imitability: An Analysis of Interfirm Differences in Efficiency Under Competition,Steven A. Lippman & Richard P. Rumelt,1981,Bell Journal of Economics,Math model of how causal ambiguity leads to firms with differing costs.,papers/Uncertain_Imitability.pdf,"Lippman, Steven A., and Richard P. Rumelt. ""Uncertain Imitability: An Analysis of Interfirm Differences in Efficiency Under Competition."" Bell Journal of Economics, 1981.",Scholarly Works,
papers,2,How Much Does Industry Matter?,Richard P. Rumelt,1991,Strategic Management Journal,Empirical demonstration that profit rates across business units within industries outweighs industry differences,papers/HowMuchDoesIndustryMatter_SMJ91.pdf,"Rumelt, Richard P. ""How Much Does Industry Matter?."" Strategic Management Journal, 1991.",Scholarly Works,
papers,3,The Payments Perspective,Steven A. Lippman & Richard P. Rumelt,2003,Strategic Management Journal,Moving beyond neoclassial ideas of rent and opportunity cost.,papers/Payments_perspective.pdf,"Lippman, Steven A., and Richard P. Rumelt. ""The Payments Perspective."" Strategic Management Journal, 2003.",Scholarly Works,
papers,4,Explaining The Payments Perspective,Richard P. Rumelt,2026,Unpublished note,Why and how we wrote The Payments Perspective,papers/Explaining The Payments Perspective Paper.pdf,"Rumelt, Richard P. ""Explaining The Payments Perspective."" Unpublished note, 2026.",Scholarly Works,
papers,5,A Bargaining Perspective on Resource Advantage,Steven A. Lippman & Richard P. Rumelt,2003,Strategic Management Journal,Pushing beyond neoclassical views on cost and price to a bargaining concept of resource payments,papers/Bargaining_Perspective.pdf,"Lippman, Steven A., and Richard P. Rumelt. ""A Bargaining Perspective on Resource Advantage."" Strategic Management Journal, 2003.",Scholarly Works,
papers,6,Explaining The Bargaining Perspective,Richard P. Rumelt,2026,Unpublished note,Why and how we wrote The Bargainiing Perespective,papers/Explaining The Bargaining Perspective.pdf,"Rumelt, Richard P. ""Explaining The Bargaining Perspective."" Unpublished note, 2026.",Scholarly Works,
papers,7,The Hand of Corporate Management in Capital Allocations,David Bardolet & Dan Lovallo & Richard P. Rumelt,2010,Industrial and Corporate Change,The impact of corporate management on capital allocation decisions,papers/HandofCorporateManagement2010.pdf,"Bardolet, David, and Dan Lovallo. ""The Hand of Corporate Management in Capital Allocations."" Industrial and Corporate Change, 2010.",Scholarly Works,
papers,8,Doing Strategy,Richard P. Rumelt,2018,"Paper Presented at the ""Rumelt Fest"" at the University of Washington, St. Louis, May 2018","Defining the subject matter of strategy in economic terms was is, itself, a bad strategy.",papers/Doing Strategy.pdf,"Rumelt, Richard P. ""Doing Strategy."" Paper Presented at the ""Rumelt Fest"" at the University of Washington, St. Louis, May 2018, 2018.",Scholarly Works,
papers,9,Choosing the Challenge,Richard P. Rumelt,2018,"Paper Presented at the ""Rumelt Fest"" at the University of Washington, St. Louis, May 2019",Moving away from defining strategy in terms of product-market competition,papets/choosing-the-challenge.pdf,"Rumelt, Richard P. ""Choosing the Challenge."" Paper Presented at the ""Rumelt Fest"" at the University of Washington, St. Louis, May 2019, 2018.",Scholarly Works,
papers,10,Asymptotic Shapley Value,Thomas M. Liggett &  Steven A. Lippman & Richard P. Rumelt,2009,Economic Theory,What happens in a bargaining game when the numbers of buyers and sellers increase without limit,papers/AsymptoticShapleyValue.pdf,"Liggett, Thomas M., and Steven A. Lippman. ""Asymptotic Shapley Value."" Economic Theory, 2009.",Scholarly Works,
papers,11,"Theory, Strategy and Entrepreneurship",Richard P. Rumelt,2005,In: Handbook of entrepreneurship research: Interdisciplinary perspectives (,Uncertainty and entrepreneurial rent,papers/TheoryStrategy&Entrepreneurship.pdf,"Rumelt, Richard P. ""Theory, Strategy and Entrepreneurship."" In: Handbook of entrepreneurship research: Interdisciplinary perspectives (, 2005.",Scholarly Works,
papers,12,Inertia and Transformation,Richard P. Rumelt,1995,In: Resource-Based and Evolutionary Theories of the Firm,Inertia in larger organizations and transformational cures,papers/Inertia&Transformation1995.pdf,"Rumelt, Richard P. ""Inertia and Transformation."" In: Resource-Based and Evolutionary Theories of the Firm, 1995.",Scholarly Works,
papers,13,Understanding Corporate Coherence Theory and Evidence,David J. Teece & Richard P. Rumelt & Giovanni Dosi & Sidney Winter,1994,Journal of Economic Behavior and Organization,Empirical study of overall corporate coherence and diversity in firm coherence,papers/UnderstandingCorporateCoherence.pdf,"Teece, David J., and Richard P. Rumelt. ""Understanding Corporate Coherence Theory and Evidence."" Journal of Economic Behavior and Organization, 1994.",Scholarly Works,
papers,14,"Demand Uncertainty, Capital Specificity, and Industrial Evolution",Steven A. Lippman & Richard P. Rumelt,1992,Industrial and Corporate Change,Equilibrium when demand is uncertain and capital is industsry specific,papers/DmdUncCapSpecIndEvol_92.pdf,"Lippman, Steven A., and Richard P. Rumelt. ""Demand Uncertainty, Capital Specificity, and Industrial Evolution."" Industrial and Corporate Change, 1992.",Scholarly Works,
papers,15,"Incentives, Routines & Self-Command",Steven Postrel & Richard P. Rumelt,1992,Industrial and Corporate Change,Human impulsiveness and automatic thought as reasons for hierarchical organization,papers/IncentivesRoutines&SelfCommand1992.pdf,"Postrel, Steven, and Richard P. Rumelt. ""Incentives, Routines & Self-Command."" Industrial and Corporate Change, 1992.",Scholarly Works,
papers,16,Heterogeneity Under Competition,"Steven A. Lippman, Kevin F. McCardle",1991,Economic Inquiry,The static concept of efficiency may be grossly misleading,papers/HeteroUnderCompet_92.pdf,"McCardle, Steven A. Lippman, Kevin F. ""Heterogeneity Under Competition."" Economic Inquiry, 1991.",Scholarly Works,
