order,year,title,co-author,publication,description,file
1,2010,Margins Markups & Breakevens,,,Introduction to profitability analysis,Technical_Notes/Margins Markups & Breakevens.pdf
2,2010,Restructuring Financial Statements,,,"Creating internally consistent definitions of invested capital, free cash flow, and the cost of capital.",Technical_Notes/Restructuring Financial Statements.pdf
3,2010,Depreciation & Taxes,,,"Corporate taxes are levied on “income,” not cash flow, and the definition of “income” is subject to a great many rules.",Technical_Notes/Depreciation&Taxes.pdf
4,2010,Strategic Cost Considerations,,,"Reviews the concepts of economies of scale, economies of scope, and learning-by-doing.",Technical_Notes/Strategic Cost Considerations.pdf
5,2010,Cost Value and Time,,,Every MBA is expected to be skilled at basic machinery of discounting and present values,Technical_Notes/Cost Value and Time.pdf
6,2010,Bargaining & Splits,,,BATNA and Shapley Values in bargaining analysis,Technical_Notes/Bargaining & Splits.pdf
7,2010,Valuation Models,,,Models of patterns of future cash flows,Technical_Notes/Valuation Models.pdf
8,2010,Value and Debt,,,Accounting for debt with an adjusted present value model,Technical_Notes/Value and Debt.pdf
9,2010,The Diffusion of Innovations,,,Sigmoid growth models,Technical_Notes/The Diffusion of Innovations.pdf
10,2010,MNL Market Share Models,,,Multinomial-logit models of market shares,Technical_Notes/MNL MarketShareModels.pdf
11,2010,MNL Nash Competition,,,Nash equilibrium for MNL Competitors,Technical_Notes/MNL Nash Competition.pdf
12,2010,Diffusion & Sigmoid Growth,,,Modeling  how innovation diffuses through a population,Technical_Notes/Diffusion&SigmoidGrowth.pdf
13,2010,Units & Units Conversion,,,Working accurately with numbers often involves paying careful attention to the units of measurement,Technical_Notes/Units & Units Conversion.pdf
14,2010,Growth Rates,,,Estimating rates of growth from data,Technical_Notes/GrowthRates.pdf
15,2010,PV Formulae,,,Formulae for annuity and growing payment streams,Technical_Notes/PVFormulae.pdf
16,2010,Valuing & Comparing Patterns of Payments,,,"Dealing with financing expenses, capital investment, taxes, depreciation, and terminal values",Technical_Notes/Valuing & Comparing Patterns of Payments.pdf
